date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2012-07-14;S; 22.85,17.73029948878161,5.11970051121839;C; 18.57818497675254,16.431974936189874,2.1462100405626643;T; 21.049536441301882,16.756135327546247,4.293401113755635;
2012-07-15;S; 21.549999999999997,18.173156631638733,3.376843368361264;C; 21.191894735719814,19.926960571128802,1.2649341645910113;T; 23.14600652313419,20.15447838055269,2.991528142581501;
2012-07-16;S; 20.5,18.530299488781623,1.9697005112183774;C; 21.119326980645326,20.068516625879568,1.0508103547657583;T; 23.116966587867807,20.358633076600427,2.758333511267381;
2012-07-17;S; 19.299999999999997,18.673156631638733,0.6268433683612642;C; 22.461554800289775,20.838955947469515,1.6225988528202606;T; 23.844127815290165,21.091146836729877,2.752980978560288;
2012-07-18;S; 17.25,16.23029948878161,1.0197005112183888;C; 21.87853777519365,20.898599829181194,0.9799379460124555;T; 24.012091624025174,21.123811597041424,2.8882800269837503;
2013-07-16;S; 22.2,19.78268044116254,2.417319558837459;C; 20.481888026784134,19.06404101299421,1.417847013789924;T; 22.31696288951042,19.443484575580783,2.8734783139296383;
2013-08-20;S; 18.8,16.29934710782925,2.500652892170752;C; 20.288050440850952,20.476663327457175,-0.18861288660622222;T; 21.50950553198942,20.674213280318384,0.835292251671035;
2014-07-01;S; 22.25,21.58268044116255,0.6673195588374483;C; 21.42907866371496,21.17565304036583,0.25342562334913055;T; 22.14973428177973,21.202950706582612,0.9467835751971165;
2014-07-02;S; 22.35,21.756013774495898,0.5939862255041035;C; 21.341195746659366,20.801302171498435,0.5398935751609315;T; 22.91909969395317,20.92751534236504,1.9915843515881306;
2015-08-16;S; 20.35,17.26601377449589,3.0839862255041126;C; 19.993188574413182,19.271041361513994,0.7221472128991877;T; 22.038336968684746,19.449903338956858,2.588433629727888;
2015-08-17;S; 21.0,18.099347107829203,2.900652892170797;C; 19.11753212533864,18.50669918903469,0.6108329363039502;T; 21.598522963332414,18.56483328897275,3.033689674359664;
2015-08-18;S; 21.450000000000003,19.61601377449591,1.8339862255040913;C; 22.680987016772463,21.252391048841275,1.4285959679311873;T; 24.584557126780794,21.44436540929047,3.1401917174903247;
2015-08-19;S; 20.75,19.0660137744959,1.6839862255040998;C; 22.08347444238194,21.085689706710752,0.9977847356711891;T; 24.25953116933539,21.313848448441888,2.945682720893501;
2015-08-20;S; 21.4,20.966013774495877,0.43398622550412114;C; 19.5443372407849,19.573959614817852,-0.029622374032953758;T; 22.437621084055422,19.75709601979679,2.6805250642586316;
2016-07-14;S; 21.85,20.77601377449588,1.0739862255041217;C; 19.619235211107764,20.142611777382967,-0.5233765662752035;T; 22.04821354494817,20.38527314090419,1.6629404040439795;
2016-07-22;S; 20.85,19.236013774495916,1.6139862255040853;C; 19.59812346462519,19.299968886930742,0.2981545776944472;T; 21.040720174965088,19.399323399004345,1.641396775960743;
2016-08-12;S; 18.55,18.39101377449589,0.1589862255041119;C; 20.655689779531087,19.578246059220305,1.0774437203107823;T; 22.903194404524527,19.839733787037346,3.0634606174871806;
2016-08-13;S; 16.9,16.756013774495898,0.14398622550410067;C; 19.774812273396435,20.349258486281087,-0.5744462128846521;T; 23.472604114781007,20.722214093905222,2.750390020875784;
2018-06-30;S; 22.6,20.058870917353033,2.541129082646968;C; 17.543402674439164,17.018371665030884,0.5250310094082806;T; 18.560971432426015,17.088632170406584,1.4723392620194318;
2018-07-01;S; 23.85,21.666013774495866,2.1839862255041353;C; 20.34946722882728,19.478174155792658,0.8712930730346216;T; 21.9409144749946,19.746272326124938,2.1946421488696615;
2018-07-02;S; 23.1,20.61601377449591,2.48398622550409;C; 19.51244584879231,20.795008386359143,-1.2825625375668324;T; 21.552680778947945,21.016548545499006,0.5361322334489387;
2018-07-03;S; 23.55,22.073156631638767,1.4768433683612336;C; 23.719308135706967,23.950077101973477,-0.23076896626650978;T; 26.177194047095725,24.305244348759288,1.8719496983364365;
2018-07-04;S; 21.8,17.37315663163872,4.426843368361279;C; 26.41579006881767,25.441224664236188,0.9745654045814831;T; 27.80742523960396,25.673760924395026,2.1336643152089323;
2018-07-05;S; 23.9,20.61601377449591,3.283986225504087;C; 19.907211209788045,19.398334402024602,0.5088768077634427;T; 25.353892623431477,19.826377704394872,5.527514919036605;
